route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,2,t176C-sl2-p1BC-r2,"Wdhill To Drbyck",0,12,444_shp
2,2,t176D-sl2-p1BC-r1,"Wdhill To Drbyck",0,11,444_shp
2,2,t176E-sl2-p1BC-r2,"Wdhill To Drbyck",0,12,444_shp
2,2,t176F-sl2-p1BC-r1,"Wdhill To Drbyck",0,11,444_shp
2,2,t1770-sl2-p1BC-r2,"Wdhill To Drbyck",0,12,444_shp
2,2,t1771-sl2-p1BC-r2,"Wdhill To Drbyck",0,12,444_shp
2,2,t1772-sl2-p1BC-r2,"Wdhill To Drbyck",0,12,444_shp
2,2,t1773-sl2-p3-r2,"Wdhill To Drbyck",0,12,3_shp
2,2,t1774-sl2-p3-r2,"Wdhill To Drbyck",0,12,3_shp
2,2,t1775-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t1776-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t1777-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t1778-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t1779-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t177A-sl2-p1B8-r2,"Wdhill To Drbyck",0,12,440_shp
2,2,t177B-sl2-p1F8-r2,"Wdhill To Stjoe",0,12,504_shp
2,2,t177C-sl2-p1F8-r2,"Wdhill To Stjoe",0,12,504_shp
2,2,t177D-sl2-p1F8-r2,"Wdhill To Stjoe",0,12,504_shp
2,2,t177E-sl2-p299-r2,"Woodhill To Tc",1,12,665_shp
2,2,t1780-sl2-p29A-r2,"Woodhill To Tc",1,12,666_shp
2,2,t1781-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t1782-sl2-p29A-r2,"Woodhill To Tc",1,12,666_shp
2,2,t1783-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t1784-sl2-p29A-r2,"Woodhill To Tc",1,12,666_shp
2,2,t1785-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t1786-sl2-p29A-r2,"Woodhill To Tc",1,12,666_shp
2,2,t1787-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t1788-sl2-p29A-r2,"Woodhill To Tc",1,12,666_shp
2,2,t1789-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t178A-sl2-p1FC-r1,"Woodhill To Tc",1,11,508_shp
2,2,t178B-sl2-p1FC-r2,"Woodhill To Tc",1,12,508_shp
2,2,t178C-sl2-p1FC-r1,"Woodhill To Tc",1,11,508_shp
2,2,t178D-sl2-p1FC-r2,"Woodhill To Tc",1,12,508_shp
2,2,t178E-sl2-p1FC-r1,"Woodhill To Tc",1,11,508_shp
2,2,t178F-sl2-p1FC-r2,"Woodhill To Tc",1,12,508_shp
2,2,t1790-sl2-p1FC-r1,"Woodhill To Tc",1,11,508_shp
2,2,t1791-sl2-p29B-r2,"Woodhill To Tc",1,12,667_shp
2,2,t1792-sl2-p29C-r2,"Woodhill To Tc",1,12,668_shp
2,2,t1793-sl2-p29C-r2,"Woodhill To Tc",1,12,668_shp
2,2,t1794-sl2-p29D-r2,"Woodhill To Tc",1,12,669_shp
2,2,t19C7-sl2-p318-r1,"Wdhill To Drbyck",0,11,792_shp
2,2,t19C8-sl2-p2-r1,"Wdhill To Drbyck",0,11,2_shp
2,2,t19C9-sl2-p1FB-r1,"Woodhill To Tc",1,11,507_shp
2,2,t19CA-sl2-p29A-r1,"Woodhill To Tc",1,11,666_shp
2,2,t37-sl2-p1BC-r1,"Wdhill To Drbyck",0,11,444_shp
2,2,t38-sl2-p1BC-r1,"Wdhill To Drbyck",0,11,444_shp
2,2,t39-sl2-p1BC-r1,"Wdhill To Drbyck",0,11,444_shp
2,2,t3A-sl2-p3-r1,"Wdhill To Drbyck",0,11,3_shp
2,2,t3B-sl2-p1B8-r1,"Wdhill To Drbyck",0,11,440_shp
2,2,t3C-sl2-p1B8-r1,"Wdhill To Drbyck",0,11,440_shp
2,2,t3D-sl2-p1B8-r1,"Wdhill To Drbyck",0,11,440_shp
2,2,t3E-sl2-p1B8-r1,"Wdhill To Drbyck",0,11,440_shp
2,2,t49-sl2-p29B-r1,"Woodhill To Tc",1,11,667_shp
2,2,t5C-sl2-p1FC-r2,"Woodhill To Tc",1,12,508_shp
2,2,t8B4-sl2-p318-r2,"Wdhill To Drbyck",0,12,792_shp
2,3,t145B-sl3-p8-r1,"Wdhill To Drbyck",0,11,8_shp
2,3,t145C-sl3-p9-r1,"Woodhill To Tc",1,11,9_shp
2,3,t176E-sl3-p6-r1,"Wdhill To Drbyck",0,11,6_shp
2,3,t1770-sl3-p6-r1,"Wdhill To Drbyck",0,11,6_shp
2,3,t1771-sl3-p4DD-r1,"Wdhill To Drbyck",0,11,1245_shp
2,3,t1772-sl3-p4DD-r1,"Wdhill To Drbyck",0,11,1245_shp
2,3,t1773-sl3-p4DD-r1,"Wdhill To Drbyck",0,11,1245_shp
2,3,t1774-sl3-p7-r1,"Wdhill To Drbyck",0,11,7_shp
